9/31*18/35÷(1/2)+27/28+17/44-(44/57)	答案:85264/97185
35/74*(40/79)÷(11/86)+19/26-13/30*27/71	答案:361806636/148386095
53/99*25/46÷(35/38)÷(23/68)+43/83	答案:44181211/30427551
(62/83)÷((19/39)÷59/88*45/97)	答案:405920944/23655
22/41+49/58÷(21/79)+11/30*40/43*83/93	答案:114661955/28528866
23/98+5/59+8/9-19/41-(57/80)	答案:2766277/85342320
1/97-(83/85-(7/22))-(8/9+25/31)*19/24	答案:30286897/19590120
(36/53)÷(1/5)+21/38+40/51-27/80	答案:18059881/4108560
17/94*33/76+11/64*(2/3+30/41)	答案:560395/1757424
5/14-(40/47)÷1/10*10/41*7/9	答案:82795/242802
(65/92-(43/96))÷(40/61)*21/85	答案:243817/2502400
31/73-(7/9)÷(3/25-(7/36))	答案:53177/4891
11/12-(57/73)÷((2/3)÷((12/77*59/68)÷(36/49)))	答案:229699/327624
53/85+1/27-64/87*12/35	答案:190244/465885
